"variable","year","value","pubdate","ctry"
"NGDP_RPCH","2019",1.7,2019-12-19,"122"
"NGDP_RPCH","2020",1.2,2019-12-19,"122"
"NGDP_RPCH","2021",1.4,2019-12-19,"122"
"PCPIPCH","2019",1.5,2019-12-19,"122"
"PCPIPCH","2020",1.5,2019-12-19,"122"
"PCPIPCH","2021",1.6,2019-12-19,"122"
"LUR","2019",4.6,2019-12-19,"122"
"LUR","2020",4.7,2019-12-19,"122"
"LUR","2021",4.7,2019-12-19,"122"
"NGDP_RPCH","2020",-7,2020-06-26,"122"
"NGDP_RPCH","2021",4.3,2020-06-26,"122"
"PCPIPCH","2020",0.6,2020-06-26,"122"
"PCPIPCH","2021",0.9,2020-06-26,"122"
"LUR","2020",5.5,2020-06-26,"122"
"LUR","2021",5.2,2020-06-26,"122"
"NGDP_RPCH","2020",-6.8,2020-10-09,"122"
"NGDP_RPCH","2021",4.4,2020-10-09,"122"
"PCPIPCH","2020",1.3,2020-10-09,"122"
"PCPIPCH","2021",1.5,2020-10-09,"122"
"LUR","2020",5.4,2020-10-09,"122"
"LUR","2021",5,2020-10-09,"122"
"NGDP_RPCH","2020",-7.3,2020-12-18,"122"
"NGDP_RPCH","2021",4.5,2020-12-18,"122"
"NGDP_RPCH","2022",3.5,2020-12-18,"122"
"PCPIPCH","2020",1.4,2020-12-18,"122"
"PCPIPCH","2021",1.5,2020-12-18,"122"
"PCPIPCH","2022",1.6,2020-12-18,"122"
"LUR","2020",5.4,2020-12-18,"122"
"LUR","2021",5.1,2020-12-18,"122"
"LUR","2022",4.8,2020-12-18,"122"
"NGDP_RPCH","2021",2.3,2021-03-26,"122"
"NGDP_RPCH","2022",3.3,2021-03-26,"122"
"PCPIPCH","2021",1.8,2021-03-26,"122"
"PCPIPCH","2022",1.8,2021-03-26,"122"
"LUR","2021",5,2021-03-26,"122"
"LUR","2022",4.8,2021-03-26,"122"
"NGDP_RPCH","2021",4,2021-06-24,"122"
"NGDP_RPCH","2022",5,2021-06-24,"122"
"PCPIPCH","2021",2.2,2021-06-24,"122"
"PCPIPCH","2022",2,2021-06-24,"122"
"NGDP_RPCH","2021",4.4,2021-10-08,"122"
"NGDP_RPCH","2022",4.8,2021-10-08,"122"
"PCPIPCH","2021",2.8,2021-10-08,"122"
"PCPIPCH","2022",3,2021-10-08,"122"
"NGDP_RPCH","2021",4.1,2021-12-15,"122"
"NGDP_RPCH","2022",5.2,2021-12-15,"122"
"NGDP_RPCH","2023",2.5,2021-12-15,"122"
"PCPIPCH","2021",2.8,2021-12-15,"122"
"PCPIPCH","2022",3.3,2021-12-15,"122"
"PCPIPCH","2023",2.2,2021-12-15,"122"
"LUR","2021",6.4,2021-12-15,"122"
"LUR","2022",4.8,2021-12-15,"122"
"LUR","2023",4.4,2021-12-15,"122"
"NGDP_RPCH","2022",3.9,2022-03-25,"122"
"NGDP_RPCH","2023",2,2022-03-25,"122"
"PCPIPCH","2022",5.8,2022-03-25,"122"
"PCPIPCH","2023",3.2,2022-03-25,"122"
"LUR","2022",4.9,2022-03-25,"122"
"LUR","2023",4.7,2022-03-25,"122"
"NGDP_RPCH","2022",3.9,2022-05-09,"122"
"NGDP_RPCH","2023",2,2022-05-09,"122"
"NGDP_RPCH","2024",1.8,2022-05-09,"122"
"NGDP_RPCH","2025",1.6,2022-05-09,"122"
"NGDP_RPCH","2026",1.4,2022-05-09,"122"
"PCPIPCH","2022",5.8,2022-05-09,"122"
"PCPIPCH","2023",3.2,2022-05-09,"122"
"PCPIPCH","2024",2.5,2022-05-09,"122"
"PCPIPCH","2025",2.3,2022-05-09,"122"
"PCPIPCH","2026",2.2,2022-05-09,"122"
"LUR","2022",4.9,2022-05-09,"122"
"LUR","2023",4.7,2022-05-09,"122"
"LUR","2024",4.6,2022-05-09,"122"
"LUR","2025",4.5,2022-05-09,"122"
"LUR","2026",4.4,2022-05-09,"122"
"NGDP_RPCH","2022",4.3,2022-06-30,"122"
"NGDP_RPCH","2023",1.6,2022-06-30,"122"
"LUR","2022",4.5,2022-06-30,"122"
"LUR","2023",4.5,2022-06-30,"122"
"PCPIPCH","2022",7.8,2022-06-30,"122"
"PCPIPCH","2023",5.3,2022-06-30,"122"
"NGDP_RPCH","2022",4.8,2022-10-07,"122"
"NGDP_RPCH","2023",0.2,2022-10-07,"122"
"LUR","2022",4.6,2022-10-07,"122"
"LUR","2023",4.7,2022-10-07,"122"
"PCPIPCH","2022",8.3,2022-10-07,"122"
